repo_name,stars,forks
bioimage-io/Workshop-June2024-Madrid,4,2
Koushouu/Bioimage-Analysis-Workshop-Taipei,5,1
Koushouu/Bioimage-Analysis-Workshop-23-24,8,4
WeiChenChu/Bioimage_Analysis_ICOB_2023,1,1
German-BioImaging/RDM4mic,7,1
CellProfiler/tutorials,87,86
dwaithe/ONBI_image_analysis,18,3
guiwitz/Python_image_processing,16,11
tpecot/DeepLearningBasedSegmentationForBiologists,11,4
zeissmicroscopy/ZEN_Python_OAD_workshop,15,1
miura/ij_textbook1,7,6
mpicbg-scicomp/CourseIntroToIA,8,3
ome/omero-deployment-examples,11,12
InsightSoftwareConsortium/ITKElastix,222,24
RMS-DAIM/Python-for-Bioimage-Analysis,133,44
guiwitz/Fundamentals_image_processing,20,4
guiwitz/NumpyPandas_course,54,36
guiwitz/neubias_academy_biapy,62,35
bnsreenu/python_for_microscopists,4093,2440
VolkerH/Jupyter-Napari-Desktop,8,1
rougier/scientific-visualization-book,10794,996
CamachoDejay/teaching-bioimage-analysis-python,17,3
CamachoDejay/Teaching-ImageJ-FIJI,4,0
jni/halfway-to-i2k-skimage-napari,6,0
scipy-2023-image-analysis/tutorial,7,8
guiwitz/DaskCourse,4,6
guiwitz/DLImaging,13,2
guiwitz/MICPy_Workshop_2022,2,0
miura/NEUBIAS_Bioimage_Analyst_Course2017,6,3
quantixed/TheDigitalCell,0,3
miura/NEUBIAS_AnalystSchool2020,13,18
miura/NEUBIAS_AnalystSchool2019,5,11
miura/NEUBIAS_AnalystSchool2018,9,5
marionlouveaux/NEUBIAS2018_TS7,0,0
miura/BIAS_Nucleus_Segmentation,0,0
miura/HTManalysisCourse,0,1
tischi/presentation-image-analysis,0,1
WhoIsJack/python-bioimage-analysis-tutorial,97,41
WhoIsJack/EMBL-CodingClub,3,4
karinsasaki/python-workshop-image-processing,32,17
karinsasaki/metabolic-networks-modelling,4,3
tischi/cellprofiler-practical-NeuBIAS-Lisbon-2017,6,2
tischi/i2k-2020-s3-zarr-workshop,0,1
datacarpentry/image-processing,101,126
kreshuklab/teaching-dl-course-2019,6,9
kreshuklab/teaching-dl-course-2023,5,5
kreshuklab/teaching-dl-course-2022,6,6
